trolley1,2020-08-11T00:00,20
trolley1,2020-08-11T01:00,29
trolley1,2020-08-11T02:00,30
trolley1,2020-08-11T03:00,24
trolley1,2020-08-11T04:00,17
trolley1,2020-08-11T05:00,29
trolley1,2020-08-11T06:00,19
trolley1,2020-08-11T07:00,26
trolley1,2020-08-11T08:00,25
trolley1,2020-08-11T09:00,24
trolley1,2020-08-11T10:00,18
trolley1,2020-08-11T11:00,27
trolley1,2020-08-11T12:00,21
trolley1,2020-08-11T13:00,26
trolley1,2020-08-11T14:00,19
trolley1,2020-08-11T15:00,11
trolley1,2020-08-11T16:00,15
trolley1,2020-08-11T17:00,28
trolley1,2020-08-11T18:00,26
trolley1,2020-08-11T18:00,30
trolley1,2020-08-11T20:00,12
trolley1,2020-08-11T21:00,26
trolley1,2020-08-11T22:00,23
trolley1,2020-08-11T23:00,12
trolley2,2020-08-11T00:00,15
trolley2,2020-08-11T01:00,15.1
trolley2,2020-08-11T02:00,15.2
trolley2,2020-08-11T03:00,15.5
trolley2,2020-08-11T04:00,15.7
trolley2,2020-08-11T05:00,15.9
trolley2,2020-08-11T06:00,16
trolley2,2020-08-11T07:00,16.5
trolley2,2020-08-11T08:00,17
trolley2,2020-08-11T09:00,19
trolley2,2020-08-11T10:00,25
trolley2,2020-08-11T11:00,28
trolley2,2020-08-11T12:00,29
trolley2,2020-08-11T13:00,29.1
trolley2,2020-08-11T14:00,29.2
trolley2,2020-08-11T15:00,29.3
trolley2,2020-08-11T16:00,29.4
trolley2,2020-08-11T17:00,29.5
trolley2,2020-08-11T18:00,29.6
trolley2,2020-08-11T18:00,29.7
trolley2,2020-08-11T20:00,29.8
trolley2,2020-08-11T21:00,29.9
trolley2,2020-08-11T22:00,30
trolley2,2020-08-11T23:00,30
